original_input,gold_reference,google/flan-t5-xxl,davinci-instruct-beta,gpt-3.5-turbo,id
"Before , they would be wandering the room and not as focused , but now , these new desks let them work where they want to work . ""","The new fit workstations let the students work where they want , she said .","Before , they would be wandering the room and not as focused , but now , these new desks let them work where they want to work . ""","Simplified version 1: Before, they used to wander around the room and were not as focused. Now, with these new desks, they can work wherever they want.

Simplified version 2: Previously, they roamed the room and lacked focus. Now, thanks to the new desks, they can work wherever they please.

**Chosen version:**
Before, they used to wander around the room and were not as focused. Now, with these new desks, they can work wherever they want.","Simplified version 1: Before, they used to wander around the room and were not as focused. Now, with these new desks, they can work wherever they want.

Simplified version 2: Previously, they roamed the room and lacked focus. Now, thanks to the new desks, they can work wherever they please.

**Chosen version:**
Before, they used to wander around the room and were not as focused. Now, with these new desks, they can work wherever they want.",c99a0049588dfe7165a237ba4703e96483442485e2ef4dec47076df7375c21e6
"Alan Durning , a founder of Seattle 's Sightline Institute and an author of the initiative , called those arguments a stretch .",Alan Durning is an author of the Seattle ballot measure .,"Alan Durning , a founder of Seattle 's Sightline Institute , called those arguments a stretch .","Simplified version 1: Alan Durning, who helped start the Sightline Institute in Seattle and co-authored the initiative, said those arguments were a bit of a stretch.

Simplified version 2: Alan Durning, a co-founder of Seattle's Sightline Institute and author of the initiative, thought those arguments were a stretch. 

Chosen version: Alan Durning, a co-founder of Seattle's Sightline Institute and author of the initiative, thought those arguments were a stretch.","Simplified version 1: Alan Durning, a founder of Seattle's Sightline Institute and an author of the initiative, said those arguments were a bit of a stretch.

Simplified version 2: Alan Durning, who helped start Seattle's Sightline Institute and wrote the initiative, thought those arguments were a bit of a stretch.

**Chosen version:**
Alan Durning, a founder of Seattle's Sightline Institute and an author of the initiative, said those arguments were a bit of a stretch.",0cf5105d83fe95d48fe87225000cb6356e4658312bec937b3421600e03865d98
"The researchers gathered 170 2- to 4-year-olds , about half of whom were described by parents as choosy .",The researchers brought together 170 2- to 4-year-olds . Half of them were described by parents as being choosy .,The researchers gathered 170 2- to 4-year-olds . About half of them were described by parents as choosy .,"1. The researchers collected 170 children aged 2 to 4, with half being picky according to their parents.
2. Researchers studied 170 kids aged 2 to 4, with half being labeled picky by their parents.

I choose: Researchers studied 170 kids aged 2 to 4, with half being labeled picky by their parents.","Simplified version 1: The researchers collected 170 children aged 2 to 4, with half being picky eaters according to their parents.

Simplified version 2: Researchers studied 170 children aged 2 to 4, with half being described as picky by their parents.

**Chosen version:**
The researchers collected 170 children aged 2 to 4, with half being picky eaters according to their parents.",373531aa64bc7e9d16115bc6259818ab15cffac947d52a4419ed9c6030508b66
"In November , Bond wrote a letter to the superintendent , school board president and other officials .","In November , Bond wrote a letter to the school .","In November , Bond wrote a letter to the superintendent , school board president and other officials .","Simplified version 1: In November, Bond wrote a letter to the school superintendent and other officials.

Simplified version 2: In November, Bond wrote a letter to the school superintendent and the school board president. 

Chosen version: In November, Bond wrote a letter to the school superintendent and the school board president.","Simplified version 1: In November, Bond wrote a letter to the superintendent and school board president.

Simplified version 2: In November, Bond wrote a letter to the school officials. 

**Chosen version: In November, Bond wrote a letter to the superintendent and school board president.**",cee57fc7315f770976eef67789bf48f3f3651ebca9fe58b6e560a7154212e49e
"It amounts to as much as $ 100 extra a week , and has lifted farmworkers ' salaries from about $ 10,000 to $ 17,000 a year .","It comes to around $ 100 extra a week . Workers now make $ 17,000 a year .","It amounts to as much as $ 100 extra a week , and has lifted farmworkers ' salaries from about $ 10,000 to $ 17,000 a year .","Simplified version 1: It means an additional $100 per week, raising farmworkers' yearly salaries from $10,000 to $17,000.

Simplified version 2: It adds up to $100 more each week, increasing farmworkers' annual pay from $10,000 to $17,000. 

**Chosen version: It means an additional $100 per week, raising farmworkers' yearly salaries from $10,000 to $17,000.**","Simplified version 1: It means an additional $100 per week, raising farmworkers' salaries from $10,000 to $17,000 annually.

Simplified version 2: It adds up to $100 more each week, increasing farmworkers' pay from $10,000 to $17,000 per year.

**Chosen version: It adds up to $100 more each week, increasing farmworkers' pay from $10,000 to $17,000 per year.**",11c0693274ce47b116f0d2a3d280ce94b9a0fa6ded8e8ee6cb3f7580d9be4b0b
The findings are significant for cancer research because cancer cells are kept alive by DNA repair mechanisms .,"Cancer grows inside the body . When DNA is fixed , it helps the cancer stay alive . The DNA of the cancer is fixed too .",The findings are important for cancer research because cancer cells are kept alive by DNA repair mechanisms.,"Simplified version 1: The discovery is important for cancer research as cancer cells rely on DNA repair mechanisms to survive.

Simplified version 2: The results are crucial for cancer research since cancer cells need DNA repair mechanisms to stay alive.

**Chosen version: The discovery is important for cancer research as cancer cells rely on DNA repair mechanisms to survive.**","Simplified version 1: The results are important for cancer research as cancer cells rely on DNA repair mechanisms to survive.

Simplified version 2: The discovery is crucial for cancer research since cancer cells need DNA repair mechanisms to stay alive.

**Chosen version: The results are important for cancer research as cancer cells rely on DNA repair mechanisms to survive.**",d94dcbdb7628953c1657c75b6a65b1cebfbd0486a80c8c21e788d3c9c62452b5
Mark is a retired astronaut .,Mark Kelly is a retired astronaut .,Mark is a retired astronaut .,"1. Mark used to be an astronaut.
2. Mark was once an astronaut.

Chosen version: Mark used to be an astronaut.","Simplified version 1: Mark used to be an astronaut.

Simplified version 2: Mark was an astronaut before retiring.

**Chosen version: Mark used to be an astronaut.**",5a7ba8640e526689b748e4659e28e933ad928e52df5354e423996ae6e468733c
"Humbaba emerges , not as a barbarian ogre , and but as a foreign ruler entertained with exotic music at court in the manner of Babylonian kings .","In the original story , Humbaba was an ogre . The new tablets tell us that he is not an ogre . Instead , Humbaba is a king from another country . He listens to music at another king 's court .",Humbaba emerges as a foreign ruler .,"Simplified version 1: Humbaba appears as a foreign ruler enjoying exotic music at court like Babylonian kings.

Simplified version 2: Humbaba is seen as a foreign ruler entertained with exotic music at court, similar to Babylonian kings.

Chosen version: Humbaba appears as a foreign ruler enjoying exotic music at court like Babylonian kings.","Simplified version: Humbaba appears as a foreign ruler enjoying exotic music at court, similar to Babylonian kings.",157aa41e29cf558ccf894e135cf5ec4adfe6b83c949613ed1d42768aeccc9747
They are flown by computers on board or a person on the ground .,A person on the ground can fly it .,They are flown by computers on board or a person on the ground.,"Simplified version 1: They are controlled by computers on board or a person on the ground.

Simplified version 2: Computers on board or a person on the ground control them.

**Chosen version: Computers on board or a person on the ground control them.**","Simplified version 1: They are controlled by computers on board or a person on the ground.

Simplified version 2: They are operated by computers on board or a person on the ground.

**Chosen version: They are controlled by computers on board or a person on the ground.**",3dba2c4beb0e37d6f73bc4b2d0e210380c9a6a23a5e23dc537c7f378ad00e3d7
"All of it will be compared with test results from his brother , a retired astronaut .",All of the information collected about Scott Kelly during his year in space will be compared with test results from his brother 's year on Earth .,"All of it will be compared with test results from his brother , a retired astronaut .","Simplified version 1: It will be compared with test results from his brother, a retired astronaut.

Simplified version 2: It will be compared with test results from his brother, who used to be an astronaut.

**Chosen version: It will be compared with test results from his brother, who used to be an astronaut.**","Simplified version 1: It will be compared with test results from his brother, a retired astronaut.

Simplified version 2: It will be compared with test results from his brother, who used to be an astronaut.

**Chosen version: It will be compared with test results from his brother, a retired astronaut.**",d320474a36288db3f83f2da593b0f7b77027ccac9e1f677f78477f2616fea276
"As El Nino bears down on California this year , worse is expected .","As El Nino hits California this year , worse is expected .","As El Nino bears down on California this year , worse is expected .","Simplified version 1: California is expecting worse conditions due to El Nino this year.

Simplified version 2: California is bracing for worse impacts from El Nino this year. 

**Chosen version: California is bracing for worse impacts from El Nino this year.**","Simplified version 1: California is expecting worse conditions due to El Nino this year.

Simplified version 2: California is bracing for worse weather because of El Nino this year.

**Chosen version: California is bracing for worse weather because of El Nino this year.**",224a6c013c0b63efe8a3b3c881515fe36c1495f5c4958d3efe4f5671461b2643
 The parents ought to be getting out there yelling at the elected officials and telling them they 've made sledding more dangerous for their kids . ,""" Parents ought to be getting out there yelling , "" law professor Craig Lawson said . The city has "" made sledding more dangerous "" for kids .",The parents should be yelling at the elected officials .,"Simplified version 1: Parents should speak up to elected officials about making sledding more dangerous for their kids.

Simplified version 2: Parents need to tell elected officials they've made sledding riskier for their children.

**Chosen version:**
Parents should speak up to elected officials about making sledding more dangerous for their kids.","Simplified version 1: Parents should speak up to elected officials about making sledding safer for their kids.

Simplified version 2: Parents need to tell elected officials that they've made sledding more dangerous for their kids.

Chosen version: Parents should speak up to elected officials about making sledding safer for their kids.",bf152bc4acbd87f3c470b3138d2947deefae479596ed27fd78e3f09bbaf0efce
""" For 100 years , automobiles have been a mechanical engineering industry , "" said the center 's director , Dragos Maciuca , who on his morning commute drives past a nearby research center of German automotive electronics and parts supplier Bosch .","Dragos Maciuca , director of Ford 's new center , once worked for Apple . He said that for the first 100 years that there were cars , manufacturing them was simple .","Dragos Maciuca said , "" For 100 years , automobiles have been a mechanical engineering industry . "" He drives past a nearby research center of German automotive electronics and parts supplier Bosch .","Simplified version 1: ""The director of the center, Dragos Maciuca, mentioned that automobiles have been a part of mechanical engineering for a century. He drives by a Bosch research center on his way to work.""

Simplified version 2: ""The center's director, Dragos Maciuca, noted that cars have been part of mechanical engineering for 100 years. He passes a Bosch research center on his commute."" 

**Chosen version:**
""The director of the center, Dragos Maciuca, mentioned that automobiles have been a part of mechanical engineering for a century. He drives by a Bosch research center on his way to work.""","Simplified version 1: ""The director of the center, Dragos Maciuca, mentioned that automobiles have been a part of mechanical engineering for a century. He drives by a Bosch research center on his way to work.""

Simplified version 2: ""The center's director, Dragos Maciuca, noted that cars have been part of mechanical engineering for 100 years. He passes a Bosch research center on his daily commute."" 

Chosen version: ""The director of the center, Dragos Maciuca, mentioned that automobiles have been a part of mechanical engineering for a century. He drives by a Bosch research center on his way to work.""",308457e633d2dedc851650598e474cbe9370fa9c829b49de7efceb3ed303e505
"Hours before his rally , the chairwoman of the Democratic National Committee , Rep. Debbie Wasserman Schultz of Florida , criticized Rubio as just another establishment Republican with no new ideas .","Before the announcement , Democratic lawmaker Debbie Wasserman Schultz criticized him . She argued that he would not bring the change he was promising .",Debbie Wasserman Schultz criticized Rubio as just another establishment Republican with no new ideas .,"Simplified version 1: Before his rally, the chairwoman of the Democratic National Committee, Rep. Debbie Wasserman Schultz from Florida, called Rubio a typical establishment Republican without fresh ideas.

Simplified version 2: Just before his rally, Rep. Debbie Wasserman Schultz, the chairwoman of the Democratic National Committee from Florida, criticized Rubio as a regular establishment Republican lacking new ideas.

**Chosen version:**
Before his rally, the chairwoman of the Democratic National Committee, Rep. Debbie Wasserman Schultz from Florida, called Rubio a typical establishment Republican without fresh ideas.","Simplified version 1: Before his rally, the chairwoman of the Democratic National Committee, Rep. Debbie Wasserman Schultz from Florida, called Rubio a typical establishment Republican without fresh ideas.

Simplified version 2: Just before his rally, Rep. Debbie Wasserman Schultz, the chairwoman of the Democratic National Committee from Florida, criticized Rubio as a regular establishment Republican lacking new ideas.

**Chosen version:**
Before his rally, the chairwoman of the Democratic National Committee, Rep. Debbie Wasserman Schultz from Florida, called Rubio a typical establishment Republican without fresh ideas.",1f7b79829b3a676b25c79c39f3d398573647becd7c6a9072a63600a4161c2e2e
He worries that the kits will help more people to become familiar with gene editing .,He worries that the tools will make gene changing too easy .,He worries that the kits will help more people to become familiar with gene editing.,"Simplified version 1: He is concerned that the kits will make more people familiar with gene editing.
Simplified version 2: He is worried that the kits will introduce more people to gene editing.

Final chosen version: He is worried that the kits will introduce more people to gene editing.","Simplified version 1: He is concerned that the kits will make more people comfortable with gene editing.

Simplified version 2: He is afraid the kits will make more people get used to gene editing.

**Chosen version: He is concerned that the kits will make more people comfortable with gene editing.**",3d708ea96d075111aa162048ebc1a3e052c7034a20be1bfa21a267a65ea6ddf6
And it would set up a national volunteer working group to advise the federal government on marine disease emergencies .,It also would set up a national volunteer working group to advise the federal government on marine disease emergencies .,And it would set up a national volunteer working group to advise the federal government on marine disease emergencies.,"1. It would create a team of volunteers to help the government during marine disease emergencies.
2. It would establish a national volunteer group to give advice to the government on marine disease emergencies.

Chosen version: It would create a team of volunteers to help the government during marine disease emergencies.","1. It would create a team of volunteers to help the government during marine disease emergencies.
2. It would establish a national volunteer group to give advice to the government on marine disease emergencies.

Chosen version: It would create a team of volunteers to help the government during marine disease emergencies.",a2a6085ada00549abf24d9101aa9633c85e52e65b4d7e4b850a3098b8e3c6945
"At the Overland Park hill where Russell Pope 's family was sledding Monday , safety measures have also been taken .",Overland Park has also tried to make sledding safer .,"At the Overland Park hill where Russell Pope 's family was sledding Monday , safety measures have been taken .","Simplified version 1: Safety measures were taken at the Overland Park hill where Russell Pope's family went sledding on Monday.

Simplified version 2: Safety measures were in place at the Overland Park hill where Russell Pope's family sled on Monday.

**Chosen version: Safety measures were taken at the Overland Park hill where Russell Pope's family went sledding on Monday.**","Simplified version 1: Safety measures were taken at the Overland Park hill where Russell Pope's family went sledding on Monday.

Simplified version 2: Safety measures were in place at the Overland Park hill where Russell Pope's family sled on Monday.

**Chosen version: Safety measures were taken at the Overland Park hill where Russell Pope's family went sledding on Monday.**",56860889b56df41c111a56c66233f9f15b3035a25b5fa9d61588af31e70ab467
It is one of several groups trying to get the extra sugar added to food labels .,WASHINGTON — Extra sugar is added to many foods we eat . It is one of several groups trying to get the added sugar on food labels .,It is one of several groups trying to get the extra sugar added to food labels.,"Simplified version 1: It is one of many groups working to include added sugar on food labels.

Simplified version 2: It is one of several groups pushing for added sugar to be listed on food labels.

**Chosen version: It is one of several groups pushing for added sugar to be listed on food labels.**","Simplified version 1: It is one of many groups working to include added sugar on food labels.

Simplified version 2: It is one of several groups pushing for added sugar to be listed on food labels.

**Chosen version: It is one of several groups pushing for added sugar to be listed on food labels.**",9ddbea3e2b7302faf93b51d86577723cae0c5d8387237c7a37f45b2b43dbeb10
The organization now relies on ping-pong balls to keep the draft fair for all 14 teams .,Now the NBA uses ping-pong balls . They say it is the best way to keep things fair .,The organization uses ping-pong balls to keep the draft fair for all 14 teams.,"Simplified version 1: The organization uses ping-pong balls to ensure a fair draft for all 14 teams.
Simplified version 2: The organization uses ping-pong balls to make sure the draft is fair for all 14 teams.

Chosen version: The organization uses ping-pong balls to ensure a fair draft for all 14 teams.","Simplified version 1: The organization uses ping-pong balls to ensure a fair draft for all 14 teams.
Simplified version 2: Ping-pong balls are used by the organization to make the draft fair for all 14 teams.

Chosen version: The organization uses ping-pong balls to ensure a fair draft for all 14 teams.",bc2c6ccbb0bb14e8c9d2faf0ac2a68fc0d49aa6109c331640e568b203b774993
Free-range hens get about 2 square feet of outdoor space .,Free-range hens get a little bit more space outdoors .,Free-range hens get about 2 square feet of outdoor space.,"1. Free-range hens have around 2 square feet of outdoor area.
2. Free-range hens have about 2 square feet of outdoor space.

Chosen version: Free-range hens have about 2 square feet of outdoor space.",Free-range hens have 2 square feet of outdoor space.,f573dac251c16352ce11d0d8b02cec26dbf2ed9e1997f2d4292ea61cfa19612a
"He rationed his food and water , drinking just a pint a day for long stretches , and collected rainwater .",He collected rainwater whenever he could .,"He rationed his food and water , drinking just a pint a day for long stretches , and collected rainwater .","Simplified version 1: He limited his food and water intake, drinking only a pint a day for long periods, and gathered rainwater.

Simplified version 2: He controlled how much he ate and drank, having just a pint daily for a while, and stored rainwater.

Chosen version: He limited his food and water intake, drinking only a pint a day for long periods, and gathered rainwater.","Simplified version 1: He limited his food and water intake, drinking only a pint daily for extended periods, and gathered rainwater.

Simplified version 2: He controlled how much he ate and drank, having just a pint each day for a long time, and saved rainwater. 

Chosen version: He limited his food and water intake, drinking only a pint daily for extended periods, and gathered rainwater.",193778725c5ba4bfe643e9e57dae7bbbf533037b097525161169f565a6c3fad9
"However , another member of the church , a slave named George Wilson , told his master about the plot .","However , a slave named George Wilson told his master about the plot .",George Wilson told his master about the plot .,"Simplified version 1: Another church member, a slave named George Wilson, informed his master about the plot.

Simplified version 2: A church member named George Wilson, who was a slave, told his owner about the plan. 

Chosen version: Another church member, a slave named George Wilson, informed his master about the plot.","Simplified version 1: Another church member, a slave named George Wilson, informed his master about the plot.

Simplified version 2: A church member named George Wilson, who was a slave, told his owner about the plan. 

**Chosen version: Another church member, a slave named George Wilson, informed his master about the plot.**",d631fa1a6982672e177e59ecaafd3234a9bb577f870711ebe33f1f3d30f3fa3f
"It could also mean enough air was left for survivors to breathe , said Park Chi-mo , a professor of naval architecture and ocean engineering at South Korea 's Ulsan University .","It also meant there might be enough air for people to breathe , said Park Chi-mo . He is a professor at South Korea 's Ulsan University .","It could also mean enough air was left for survivors to breathe , said Park Chi-mo , a professor of naval architecture and ocean engineering at South Korea 's Ulsan University .","Simplified version 1: Park Chi-mo, a professor at Ulsan University in South Korea, mentioned that there might have been enough air left for survivors to breathe.

Simplified version 2: Park Chi-mo, a professor at Ulsan University in South Korea, suggested that there could have been sufficient air for survivors to breathe. 

**Chosen version: Park Chi-mo, a professor at Ulsan University in South Korea, mentioned that there might have been enough air left for survivors to breathe.**","Simplified version 1: It might also mean there was enough air left for survivors to breathe, according to Park Chi-mo, a professor at Ulsan University in South Korea.

Simplified version 2: It could also mean there was enough air left for survivors to breathe, as per Park Chi-mo, a professor at Ulsan University in South Korea.

**Chosen version: It might also mean there was enough air left for survivors to breathe, according to Park Chi-mo, a professor at Ulsan University in South Korea.**",6537561f7b41056dd961767c13be2e8ef01a364cf085dcd7209d640427d5e526
"That helps them determine when to apply more , or fewer , chemicals .","That helps the states decide when to apply more , or fewer , chemicals to melt ice .",They use that information to decide when to apply more or fewer chemicals .,"Simplified version 1: This helps them decide when to use more or less chemicals.

Simplified version 2: This helps them know when to use more or fewer chemicals.

**Chosen version:**
This helps them decide when to use more or less chemicals.","Simplified version 1: This helps them decide when to use more or less chemicals.

Simplified version 2: This helps them know when to use more or less chemicals.

**Chosen version: This helps them decide when to use more or less chemicals.**",febaec33d8e32a00b72f12d1e5958d15fbaf64ce8f0ed213efe7daf6d8e90dd5
"The United States will accept 85,000 migrants from around the world next year , up from the 70,000 now permitted .","Next year , the United States will let in around 10,000 new Syrian refugees .","The United States will accept 85,000 migrants from around the world next year , up from the 70,000 now permitted .","Simplified version 1: The U.S. will allow 85,000 migrants next year, an increase from the current 70,000 limit.

Simplified version 2: The U.S. will welcome 85,000 migrants next year, up from the current 70,000 allowed.

**Chosen version: The U.S. will welcome 85,000 migrants next year, up from the current 70,000 allowed.**","Simplified version 1: The U.S. will allow 85,000 migrants next year, an increase from the current 70,000 limit.

Simplified version 2: The U.S. will welcome 85,000 migrants next year, up from the current 70,000 allowed.

**Chosen version: The U.S. will welcome 85,000 migrants next year, up from the current 70,000 allowed.**",bcbf7972e47c608632a6560da44ca605eccfa2fe4395800b7e315162097c2ed6
"But the absence of U.S. boots on the ground changed the facts on the ground as well , and Islamic State was quick to take advantage .",But ISIS moved in when we pulled out our troops .,The absence of U.S. boots on the ground changed the facts on the ground . Islamic State was quick to take advantage .,"Simplified version 1: Without U.S. troops on the ground, the situation changed, and Islamic State acted fast.

Simplified version 2: No U.S. boots on the ground meant Islamic State could act quickly. 

**Chosen version: No U.S. boots on the ground meant Islamic State could act quickly.**","Simplified version 1: Without U.S. troops on the ground, the situation changed, and Islamic State acted fast.

Simplified version 2: No U.S. boots on the ground meant Islamic State could act quickly. 

**Chosen version: Without U.S. troops on the ground, the situation changed, and Islamic State acted fast.**",45524000dd03ef8ffd81831f59799c8b1821c0c10a7894252dd313ca9a34692c
"Sweet corn is what Americans grill in the summer , and boil or bake during the rest of the year .",The first is sweet corn .,"Sweet corn is what Americans grill in the summer , and boil or bake during the rest of the year .","1. Americans grill sweet corn in the summer and cook it other ways throughout the year.
2. Americans grill sweet corn in the summer and cook it differently in other seasons.

I choose: Americans grill sweet corn in the summer and cook it other ways throughout the year.","1. Americans grill sweet corn in the summer and boil or bake it the rest of the year.
2. Americans cook sweet corn by grilling it in the summer and boiling or baking it in other seasons.

I choose: Americans grill sweet corn in the summer and boil or bake it the rest of the year.",a084ebdde012bbcb30cd6802c4d24f1f5380ded494241a13c3076213b44c0beb
The part of the algae that contains chlorophyll is a jelly bean – shaped structure known as a chloroplast .,The part of the algae that contains chlorophyll is known as a chloroplast . It is shaped something like a jelly bean .,The part of the algae that contains chlorophyll is a jelly bean – shaped structure known as a chloroplast.,"Simplified version 1: The algae's chlorophyll-containing part is a jelly bean-shaped structure called a chloroplast.

Simplified version 2: Algae's chlorophyll is in a jelly bean-shaped part called a chloroplast.

**Chosen version: The algae's chlorophyll-containing part is a jelly bean-shaped structure called a chloroplast.**","Simplified version 1: The algae's chlorophyll is in a jelly bean-shaped part called a chloroplast.

Simplified version 2: Algae's chlorophyll is in a structure shaped like a jelly bean, known as a chloroplast.

**Chosen version: The algae's chlorophyll is in a jelly bean-shaped part called a chloroplast.**",b1457be0a5cb21fa057fffd141de4eb3410170aa08bac2745166c30e18734fb3
"In a statement , BerryMex said it has been committed to "" fairness , honesty and respect for all employees "" since starting operations in the region in 2000 .","In a statement , BerryMex said it has been committed to "" fairness , honesty and respect for all employees . ""","BerryMex said it has been committed to "" fairness , honesty and respect for all employees "" since starting operations in the region in 2000 .","BerryMex stated that it has been dedicated to treating all employees fairly, honestly, and with respect since it began operating in the region in 2000.","BerryMex stated that it has been dedicated to treating all employees fairly, honestly, and with respect since it began operating in the region in 2000.",91402e6a08686056dd34671b7b8f31c50a45db998b2bc33569b21e78ac1d12f1
""" In the beginning , we are going to find them mainly in gardens because they will be transported from garden to garden , "" he said .",""" In the beginning , we are going to find them mainly in gardens because they will be transported from garden to garden , "" Justine said of the spread of the flatworm .",""" In the beginning , we are going to find them mainly in gardens because they will be transported from garden to garden ,"" he said .","Simplified version 1: ""At first, we'll mostly see them in gardens as they move from one garden to another,"" he explained.

Simplified version 2: ""Initially, we'll find them in gardens as they travel from one garden to another,"" he said.

**Chosen version:**
""At first, we'll mostly see them in gardens as they move from one garden to another,"" he explained.","Simplified version 1: ""At first, we'll mostly find them in gardens as they move from one garden to another,"" he explained.

Simplified version 2: ""Initially, we'll see them mostly in gardens as they travel from one garden to another,"" he stated.

**Chosen version:**
""At first, we'll mostly find them in gardens as they move from one garden to another,"" he explained.",ee5e291af032d9b201219c1a433d401cb5d6220d3a65cc04550f46ac7c92ce9e
"Now 80 , she is a third-degree black belt in American karate who can still snap off a spinning back kick and break boards and bones with her feet .",Helen Dugan is 80 years old .,She is now 80 . She is a third-degree black belt in American karate .,"Simplified version 1: At 80 years old, she is a third-degree black belt in American karate and can still perform powerful kicks to break boards and bones.

Simplified version 2: She is 80 years old and a third-degree black belt in American karate, able to break boards and bones with her powerful kicks. 

Chosen version: At 80 years old, she is a third-degree black belt in American karate and can still perform powerful kicks to break boards and bones.","Simplified version 1: She is now 80 years old and a third-degree black belt in American karate. She can still perform a spinning back kick and break boards and bones with her feet.

Simplified version 2: At 80 years old, she is a third-degree black belt in American karate. She can still do a spinning back kick and break boards and bones with her feet.

**Chosen version: At 80 years old, she is a third-degree black belt in American karate. She can still do a spinning back kick and break boards and bones with her feet.**",24cc5d3c49bdebce823782d4b75bb02dfd1c622bd18a8b42d899973294c6d56e
"Anything that is cutting edge that can get their guys a couple more years in the league , "" said Dr. Jim Bradley , orthopedic surgeon for the NFL 's Pittsburgh Steelers .","Players want the best new medicine , said Dr. Jim Bradley . He is the doctor for the NFL 's Pittsburgh Steelers .","Dr. Jim Bradley , orthopedic surgeon for the NFL 's Pittsburgh Steelers , said , "" Anything that is cutting edge that can get their guys a couple more years in the league . ""","Simplified version 1: Dr. Jim Bradley, an orthopedic surgeon for the NFL's Pittsburgh Steelers, mentioned that using cutting-edge methods can help players extend their careers.

Simplified version 2: Dr. Jim Bradley, a surgeon for the NFL's Pittsburgh Steelers, said that using advanced techniques can give players more years in the league. 

**Chosen version:**
Dr. Jim Bradley, an orthopedic surgeon for the NFL's Pittsburgh Steelers, mentioned that using cutting-edge methods can help players extend their careers.","Simplified version 1: Dr. Jim Bradley, an orthopedic surgeon for the NFL's Pittsburgh Steelers, mentioned that using cutting-edge methods can help players extend their careers.

Simplified version 2: Dr. Jim Bradley, a surgeon for the NFL's Pittsburgh Steelers, said that using advanced techniques can help players play longer. 

**Chosen version:**
Dr. Jim Bradley, an orthopedic surgeon for the NFL's Pittsburgh Steelers, mentioned that using cutting-edge methods can help players extend their careers.",8a41711020d817843ba4fa82cbced2bcd30033255b9de38ab83b1a2f47e80593
"Jordan survived on some limited food on board : flour pancakes fried on a propane stove and raw fish he caught with a hand net , Davis said .",Jordan survived on just a bit of food . He fried flour pancakes on a small stove and caught fish with a hand net .,Jordan survived on some limited food on board : flour pancakes fried on a propane stove and raw fish he caught with a hand net .,"Simplified version 1: Jordan ate flour pancakes and raw fish he caught with a net on the boat, according to Davis.

Simplified version 2: Davis mentioned that Jordan survived on flour pancakes cooked on a stove and raw fish caught with a net while on board. 

**Chosen version: Jordan ate flour pancakes and raw fish he caught with a net on the boat, according to Davis.**","Simplified version 1: Jordan ate flour pancakes and raw fish he caught with a net on the boat, according to Davis.

Simplified version 2: Jordan ate flour pancakes and raw fish he caught with a net on the boat, as told by Davis. 

**Chosen version: Jordan ate flour pancakes and raw fish he caught with a net on the boat, according to Davis.**",ce3f725cef44a578d10ed98b5c5d72df31235ca6f1d92dd1ff0261acd5c02afb
"STOCKHOLM , Sweden — Three scientists from Sweden , the United States and Turkey won the Nobel Prize in chemistry on Wednesday .","STOCKHOLM , Sweden — Three scientists have won the Nobel Prize . They received it last Wednesday .","Three scientists from Sweden , the United States and Turkey won the Nobel Prize in chemistry on Wednesday .","Simplified version 1: Three scientists from Sweden, the United States, and Turkey won the Nobel Prize in chemistry in Stockholm, Sweden.

Simplified version 2: Three scientists from Sweden, the United States, and Turkey won the Nobel Prize in chemistry in Stockholm. 

Chosen version: Three scientists from Sweden, the United States, and Turkey won the Nobel Prize in chemistry in Stockholm.","Simplified version 1: Three scientists from Sweden, the United States, and Turkey won the Nobel Prize in chemistry in Stockholm, Sweden.

Simplified version 2: Three scientists from Sweden, the United States, and Turkey won the Nobel Prize in chemistry in Stockholm. 

Chosen version: Three scientists from Sweden, the United States, and Turkey won the Nobel Prize in chemistry in Stockholm.",3ceea22ed9583e6fdd0533362e625f1833f036b4828f963e13a55e56a8b41c36
"She would also like to attract new recruits to her aging , shrinking order .","She would also like to attract women to her religious order . The nuns are growing older , and few women are coming to take their place .","She would like to attract new recruits to her aging , shrinking order .","Simplified version 1: She wants to bring in new members to her declining group.

Simplified version 2: She aims to attract fresh members to her dwindling organization.

Chosen version: She wants to bring in new members to her declining group.","1. She wants to bring in new members to her old and declining group.
2. She wants to attract new people to her aging and shrinking organization.

I choose: She wants to bring in new members to her old and declining group.",3d04fe189fb386617c150ca712cbe49516d7b87ebdb6484b7b7ad875e53ef8c6
Zayner makes mixes in tiny glass containers .,Zayner is mixing in tiny glass bottles .,Zayner makes mixes in tiny glass containers.,"1. Zayner mixes things in small glass jars.
2. Zayner creates blends in little glass bottles.

Chosen version: Zayner mixes things in small glass jars.","1. Zayner mixes things in small glass jars.
2. Zayner creates blends in little glass bottles.

**Chosen version:**
Zayner mixes things in small glass jars.",6738c4a08eae97789f9a5b18967d82630ba27e41097742f95f1b82cc178d538b
